propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
1,1,26,9,6,2,6.0,1.0,1.0
0,2,20,9,6,0,5.0,1.0,2.0
0,2,27,9,6,0,5.0,1.0,2.0
0,1,63,9,3,2,5.0,1.0,1.0
1,2,23,9,6,0,6.0,1.0,2.0
1,1,44,9,4,1,3.0,1.0,1.0
0,1,32,9,6,1,6.0,1.0,1.0
0,2,20,5,6,0,6.0,1.0,2.0
1,1,21,9,6,0,7.0,3.0,1.0
1,1,29,9,6,0,5.0,1.0,1.0
0,1,24,9,5,1,5.0,1.0,1.0
1,2,30,9,3,0,7.0,1.0,2.0
0,2,30,9,2,1,5.0,1.0,2.0
0,1,61,9,3,3,7.0,1.0,1.0
0,2,31,9,6,1,5.0,1.0,2.0
0,1,52,9,2,1,6.0,1.0,1.0
0,1,28,9,5,2,5.0,1.0,1.0
1,1,29,9,6,1,5.0,1.0,1.0
0,1,31,9,2,3,5.0,1.0,1.0
1,1,20,9,6,0,4.0,1.0,1.0
0,2,31,9,6,0,8.0,1.0,2.0
0,1,59,9,6,0,6.0,1.0,1.0
1,1,42,9,5,1,7.0,1.0,1.0
0,1,60,9,1,9,5.0,1.0,1.0
1,1,42,9,3,1,4.0,1.0,1.0
0,2,24,9,6,2,5.0,1.0,2.0
1,1,50,9,5,6,4.0,1.0,1.0
0,1,33,1,6,0,8.0,1.0,1.0
0,1,40,9,6,0,3.0,1.0,1.0
1,2,26,9,6,0,5.0,1.0,2.0
1,1,25,9,2,1,5.0,1.0,1.0
0,1,53,9,3,4,8.0,1.0,1.0
0,1,59,9,6,1,6.0,1.0,1.0
0,1,34,9,6,0,3.0,1.0,1.0
0,1,49,9,3,2,8.0,1.0,1.0
0,1,32,9,6,0,6.0,1.0,1.0
0,1,58,5,5,3,3.0,1.0,1.0
0,1,36,1,6,0,5.0,1.0,1.0
0,1,29,1,2,3,4.0,1.0,1.0
0,1,33,9,3,2,4.0,1.0,1.0
0,1,52,9,2,1,6.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
1,1,18,1,6,0,4.0,1.0,1.0
0,1,20,9,1,1,5.0,1.0,1.0
1,2,36,9,5,1,7.0,1.0,2.0
0,1,54,1,2,7,3.0,1.0,1.0
1,1,27,9,6,2,5.0,1.0,1.0
0,1,30,9,6,0,5.0,1.0,1.0
1,2,18,9,6,0,5.0,1.0,2.0
1,2,35,1,5,6,3.0,1.0,2.0
1,1,27,9,3,0,7.0,1.0,1.0
0,1,62,9,3,3,6.0,1.0,1.0
0,2,20,9,6,0,5.0,3.0,2.0
1,2,25,9,6,1,5.0,1.0,2.0
1,1,58,5,6,1,3.0,1.0,1.0
0,1,50,9,2,5,6.0,1.0,1.0
1,1,27,9,6,0,7.0,1.0,1.0
1,2,26,9,6,0,7.0,1.0,2.0
0,1,40,9,2,1,6.0,1.0,1.0
1,1,58,9,5,2,5.0,1.0,1.0
1,1,25,1,5,2,5.0,1.0,1.0
0,1,30,9,6,2,7.0,1.0,1.0
0,2,33,9,6,1,5.0,1.0,2.0
0,2,58,9,2,1,8.0,1.0,2.0
1,1,25,9,2,2,5.0,1.0,1.0
0,2,64,9,3,4,3.0,1.0,2.0
1,1,21,5,6,0,6.0,1.0,1.0
0,2,49,9,6,0,4.0,1.0,2.0
1,1,26,9,1,0,5.0,1.0,1.0
0,2,59,9,5,1,7.0,1.0,2.0
0,2,35,9,3,1,5.0,1.0,2.0
0,1,63,9,3,3,3.0,1.0,1.0
0,1,60,9,5,3,3.0,1.0,1.0
1,1,24,9,1,0,7.0,1.0,1.0
1,1,22,9,6,0,5.0,2.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
1,2,32,9,2,0,6.0,1.0,2.0
1,1,43,9,3,1,6.0,1.0,1.0
0,1,64,1,3,3,5.0,1.0,1.0
0,1,42,9,2,2,6.0,1.0,1.0
0,2,41,9,5,2,7.0,1.0,1.0
1,2,24,5,2,0,7.0,1.0,2.0
0,1,29,9,6,0,3.0,1.0,1.0
0,1,38,9,6,0,6.0,1.0,1.0
1,1,25,5,6,0,4.0,1.0,1.0
0,1,41,9,6,5,5.0,1.0,1.0
1,1,19,9,6,0,5.0,1.0,1.0
1,2,36,9,4,1,7.0,1.0,2.0
1,1,22,9,2,1,4.0,1.0,1.0
1,1,30,9,6,0,7.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
0,1,52,9,5,3,3.0,1.0,1.0
1,2,23,9,6,0,4.0,3.0,2.0
1,2,42,9,2,1,3.0,1.0,2.0
0,1,63,9,3,4,7.0,1.0,1.0
1,1,23,9,6,0,5.0,1.0,1.0
0,2,23,5,6,1,4.0,1.0,2.0
1,1,23,9,6,0,7.0,1.0,1.0
1,2,21,9,2,2,4.0,1.0,2.0
1,2,50,9,6,1,5.0,1.0,2.0
0,2,40,9,6,1,5.0,1.0,2.0
0,2,29,9,6,0,7.0,1.0,2.0
1,1,27,9,2,4,5.0,1.0,1.0
0,2,60,9,4,5,5.0,1.0,2.0
0,1,51,9,5,3,2.0,1.0,1.0
1,1,30,9,3,2,5.0,1.0,1.0
0,2,38,9,5,1,8.0,1.0,2.0
1,1,26,9,6,0,7.0,1.0,1.0
1,1,58,9,3,4,4.0,1.0,1.0
0,1,33,9,2,2,5.0,1.0,1.0
0,1,49,5,2,2,5.0,1.0,1.0
1,2,19,9,6,0,6.0,1.0,2.0
1,2,21,5,1,1,5.0,1.0,2.0
1,1,38,9,3,1,6.0,1.0,1.0
0,1,21,9,6,0,5.0,1.0,1.0
0,2,28,9,2,2,3.0,1.0,2.0
0,2,26,9,6,1,7.0,1.0,2.0
1,2,19,9,6,0,5.0,2.0,2.0
0,2,49,9,6,2,7.0,1.0,2.0
1,2,22,9,1,0,7.0,1.0,2.0
0,2,64,9,2,2,5.0,1.0,2.0
1,1,35,9,6,0,7.0,1.0,1.0
0,1,19,9,6,0,5.0,1.0,1.0
1,1,28,3,6,0,7.0,1.0,1.0
0,2,22,9,3,2,5.0,1.0,2.0
0,1,28,9,6,0,7.0,1.0,1.0
0,2,25,5,6,2,7.0,1.0,2.0
0,1,29,9,2,1,6.0,1.0,1.0
0,2,44,9,6,0,7.0,1.0,2.0
1,1,23,9,6,0,7.0,1.0,1.0
1,1,63,9,3,3,4.0,1.0,1.0
1,1,63,9,3,1,5.0,1.0,1.0
0,1,18,9,6,0,7.0,1.0,1.0
0,1,37,9,3,2,6.0,1.0,1.0
1,1,24,9,6,0,7.0,1.0,1.0
0,1,34,1,2,2,8.0,1.0,1.0
1,1,27,9,6,0,7.0,1.0,1.0
0,1,22,1,6,0,5.0,1.0,2.0
1,1,19,9,6,0,4.0,1.0,1.0
1,1,25,9,6,0,4.0,1.0,1.0
0,1,44,1,6,0,5.0,1.0,1.0
0,2,30,9,5,2,3.0,1.0,2.0
1,2,25,9,6,0,6.0,1.0,2.0
0,1,28,9,2,0,4.0,1.0,1.0
0,1,36,9,6,0,5.0,1.0,1.0
0,1,30,9,2,0,4.0,1.0,1.0
0,1,63,9,6,0,4.0,1.0,1.0
1,2,23,9,6,0,4.0,1.0,2.0
0,1,40,5,2,5,4.0,1.0,1.0
1,2,56,9,2,1,5.0,1.0,2.0
0,1,39,5,2,5,3.0,1.0,1.0
0,1,49,9,5,2,6.0,1.0,1.0
0,2,20,9,4,0,5.0,1.0,2.0
0,1,19,9,6,0,7.0,1.0,1.0
0,2,19,9,6,0,5.0,1.0,2.0
0,1,60,9,2,3,4.0,1.0,1.0
0,1,21,9,6,0,5.0,1.0,1.0
1,1,22,9,2,1,5.0,1.0,1.0
0,1,63,9,2,2,6.0,1.0,1.0
1,1,23,9,6,0,5.0,1.0,1.0
1,2,20,9,6,0,7.0,3.0,2.0
1,1,47,9,5,3,4.0,1.0,1.0
0,1,24,9,6,0,7.0,3.0,1.0
0,1,65,9,2,3,7.0,1.0,1.0
0,1,65,9,3,2,3.0,1.0,1.0
1,2,20,9,6,2,3.0,1.0,2.0
1,1,29,9,6,0,7.0,2.0,1.0
0,1,48,9,6,1,3.0,1.0,1.0
0,1,33,9,6,0,8.0,1.0,1.0
0,1,39,9,5,0,6.0,1.0,1.0
0,1,24,5,6,0,7.0,1.0,1.0
1,1,24,9,6,0,6.0,1.0,1.0
0,1,28,9,2,1,5.0,1.0,1.0
1,2,26,1,6,1,6.0,1.0,2.0
0,2,28,9,6,0,7.0,1.0,2.0
0,2,40,9,5,1,6.0,1.0,2.0
0,2,23,9,6,0,6.0,1.0,2.0
0,1,22,9,6,0,5.0,1.0,1.0
1,1,47,9,6,0,2.0,3.0,1.0
0,1,41,9,5,2,4.0,1.0,1.0
0,2,19,9,6,0,7.0,1.0,2.0
0,1,34,9,2,1,6.0,1.0,1.0
0,2,38,9,6,1,6.0,1.0,2.0
1,1,42,9,5,1,5.0,1.0,1.0
1,2,23,9,2,1,5.0,1.0,2.0
1,1,20,9,6,0,5.0,1.0,1.0
0,1,56,1,3,2,4.0,1.0,1.0
0,2,30,9,3,2,6.0,1.0,2.0
0,1,26,9,2,2,4.0,1.0,1.0
0,1,32,1,6,0,4.0,1.0,1.0
0,1,60,9,3,2,5.0,1.0,1.0
0,1,23,5,1,1,3.0,1.0,1.0
0,1,36,9,6,0,7.0,2.0,1.0
1,2,29,9,5,2,5.0,3.0,2.0
0,2,44,9,3,3,6.0,1.0,2.0
0,1,47,9,6,1,3.0,1.0,1.0
0,1,29,9,2,0,6.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
1,1,29,9,6,0,5.0,1.0,1.0
0,1,31,9,3,2,7.0,1.0,1.0
0,2,51,9,5,3,3.0,1.0,2.0
1,1,21,9,6,0,5.0,1.0,1.0
1,1,27,9,6,0,6.0,1.0,1.0
0,1,20,9,6,0,7.0,1.0,1.0
0,1,29,9,6,0,5.0,1.0,1.0
0,1,60,9,6,0,6.0,2.0,1.0
1,1,30,9,6,0,6.0,1.0,1.0
0,1,33,9,6,2,6.0,1.0,1.0
0,1,29,9,6,0,7.0,1.0,1.0
0,2,29,9,6,0,6.0,1.0,2.0
1,1,46,9,6,0,4.0,1.0,1.0
0,1,65,9,3,4,1.0,1.0,1.0
1,1,24,9,6,0,7.0,1.0,1.0
0,1,27,9,3,1,4.0,1.0,1.0
1,2,21,1,6,0,7.0,1.0,2.0
0,1,34,9,6,0,6.0,1.0,1.0
1,2,23,5,2,3,5.0,1.0,2.0
0,1,25,9,6,0,5.0,1.0,1.0
0,1,54,9,3,1,6.0,1.0,1.0
0,1,34,9,2,5,4.0,1.0,1.0
1,2,42,9,5,2,5.0,1.0,2.0
0,1,51,9,2,3,4.0,1.0,1.0
0,1,27,9,1,3,7.0,2.0,1.0
0,1,65,9,3,2,5.0,1.0,1.0
1,2,30,9,6,0,7.0,1.0,2.0
1,1,39,9,6,3,4.0,1.0,1.0
1,1,34,9,2,0,7.0,1.0,1.0
0,1,51,9,3,0,5.0,1.0,1.0
1,1,24,9,6,0,7.0,1.0,1.0
0,1,58,5,3,1,4.0,1.0,1.0
1,2,31,9,3,1,7.0,1.0,2.0
1,1,25,1,2,1,7.0,1.0,1.0
1,1,43,9,5,3,6.0,1.0,1.0
1,1,22,9,6,0,7.0,1.0,1.0
0,1,27,9,5,0,6.0,1.0,1.0
0,1,23,9,6,0,7.0,3.0,1.0
0,1,54,9,4,2,3.0,1.0,1.0
1,1,24,9,6,0,6.0,1.0,1.0
0,1,65,9,2,4,5.0,1.0,1.0
1,1,26,9,6,0,5.0,2.0,1.0
0,1,20,9,6,0,5.0,1.0,1.0
1,1,22,9,1,0,6.0,1.0,1.0
1,1,25,9,6,1,5.0,1.0,1.0
0,1,55,9,3,3,8.0,1.0,1.0
0,2,31,9,6,2,5.0,1.0,2.0
1,1,49,5,6,0,6.0,1.0,1.0
0,1,28,9,6,1,6.0,1.0,1.0
1,1,20,5,6,1,5.0,1.0,1.0
1,1,34,9,3,2,5.0,1.0,1.0
1,2,22,1,6,0,7.0,1.0,2.0
1,1,38,9,5,1,7.0,1.0,1.0
0,2,65,9,4,4,3.0,1.0,2.0
1,2,22,9,1,3,5.0,1.0,2.0
1,2,21,9,6,0,7.0,1.0,2.0
1,1,19,9,6,0,7.0,1.0,1.0
0,2,46,9,6,1,8.0,1.0,2.0
0,1,43,9,3,3,3.0,1.0,1.0
0,1,64,9,3,4,3.0,1.0,1.0
0,1,65,9,3,3,7.0,1.0,1.0
0,1,44,9,6,3,3.0,1.0,1.0
0,1,26,9,2,2,5.0,1.0,1.0
1,1,37,9,3,2,5.0,1.0,1.0
0,1,18,9,1,0,3.0,1.0,1.0
0,2,24,9,3,0,7.0,1.0,2.0
0,1,35,1,6,2,5.0,1.0,1.0
0,2,25,9,6,6,7.0,1.0,2.0
1,2,32,9,2,6,3.0,1.0,2.0
1,1,46,9,6,0,4.0,1.0,1.0
1,1,35,9,6,0,6.0,1.0,1.0
0,2,60,9,5,4,5.0,1.0,2.0
0,1,43,9,2,8,3.0,1.0,1.0
1,1,24,9,1,0,5.0,1.0,1.0
1,1,26,9,6,2,6.0,1.0,1.0
0,1,23,9,2,0,5.0,1.0,1.0
0,1,41,9,3,3,7.0,1.0,1.0
0,2,32,9,3,1,8.0,1.0,2.0
0,1,39,1,2,2,5.0,1.0,1.0
1,2,28,9,6,0,5.0,1.0,2.0
1,2,22,9,2,0,5.0,1.0,2.0
0,1,29,9,6,0,6.0,1.0,1.0
0,2,57,9,6,1,5.0,1.0,2.0
0,1,35,9,6,0,5.0,1.0,1.0
1,2,18,5,5,0,4.0,1.0,2.0
0,1,31,9,6,0,7.0,1.0,1.0
0,2,28,9,6,0,7.0,1.0,2.0
0,2,24,9,6,0,8.0,1.0,2.0
1,1,31,5,2,0,4.0,1.0,1.0
1,1,22,9,6,0,5.0,1.0,1.0
0,1,33,1,2,0,8.0,1.0,1.0
0,2,42,9,3,2,7.0,1.0,2.0
0,2,20,9,2,1,5.0,1.0,2.0
0,2,36,9,6,0,7.0,1.0,2.0
0,2,27,9,1,0,8.0,1.0,2.0
1,1,23,9,6,0,5.0,3.0,1.0
0,1,51,9,3,4,4.0,1.0,1.0
0,1,40,9,3,2,7.0,1.0,1.0
0,2,23,9,6,0,5.0,1.0,2.0
1,1,30,9,2,2,6.0,1.0,1.0
0,1,29,9,6,1,6.0,1.0,1.0
1,1,19,1,2,2,4.0,1.0,1.0
1,1,43,9,6,1,5.0,1.0,1.0
1,2,30,9,1,1,3.0,1.0,2.0
1,1,54,9,6,2,4.0,1.0,2.0
1,2,28,9,6,0,7.0,1.0,2.0
1,1,25,9,6,0,5.0,1.0,1.0
1,1,20,2,6,0,5.0,1.0,1.0
0,1,52,9,3,0,7.0,1.0,1.0
1,2,35,9,6,1,7.0,1.0,2.0
1,1,25,9,6,1,4.0,1.0,1.0
1,1,34,9,2,2,4.0,1.0,1.0
1,1,27,1,6,0,5.0,1.0,1.0
0,1,61,5,5,5,3.0,1.0,1.0
1,1,21,9,2,2,3.0,1.0,1.0
0,2,42,9,3,1,8.0,1.0,2.0
1,1,37,9,6,2,6.0,1.0,1.0
1,1,34,9,2,0,7.0,1.0,1.0
1,1,26,9,6,0,7.0,1.0,1.0
1,1,21,9,6,0,7.0,1.0,1.0
1,2,26,9,6,0,6.0,1.0,2.0
0,1,39,9,3,2,4.0,1.0,1.0
1,1,21,1,6,0,5.0,1.0,1.0
0,1,54,9,3,0,7.0,1.0,1.0
0,2,20,9,6,0,7.0,1.0,2.0
0,2,22,9,6,0,5.0,1.0,2.0
1,2,28,9,6,0,6.0,1.0,2.0
0,1,63,9,3,1,6.0,1.0,1.0
0,1,22,9,6,0,5.0,1.0,1.0
1,2,43,9,2,2,7.0,1.0,2.0
1,2,22,9,1,1,5.0,1.0,2.0
0,1,40,5,5,4,3.0,1.0,1.0
1,1,22,9,1,0,5.0,1.0,1.0
0,1,27,9,6,1,7.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
0,2,21,9,6,0,5.0,1.0,2.0
1,1,39,9,3,2,5.0,1.0,1.0
1,1,57,9,5,1,4.0,1.0,1.0
0,1,27,9,2,2,5.0,1.0,1.0
0,1,25,1,6,0,6.0,1.0,1.0
0,1,30,9,3,2,5.0,1.0,1.0
0,1,26,9,6,0,5.0,1.0,1.0
1,1,27,9,6,0,5.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,1,35,9,2,2,5.0,1.0,1.0
0,1,51,9,6,0,6.0,1.0,1.0
0,2,36,9,6,1,8.0,1.0,2.0
1,1,22,9,6,0,7.0,1.0,1.0
1,1,18,9,6,0,4.0,1.0,1.0
0,2,20,9,2,0,7.0,1.0,2.0
1,1,19,9,5,0,4.0,1.0,1.0
1,1,37,9,1,1,6.0,1.0,1.0
0,1,30,9,6,0,7.0,1.0,1.0
1,1,27,9,6,0,7.0,1.0,1.0
0,1,60,9,2,3,5.0,1.0,1.0
0,1,46,9,4,3,5.0,1.0,1.0
0,1,26,1,6,0,5.0,1.0,1.0
0,1,43,9,2,0,5.0,1.0,1.0
1,1,64,9,3,2,8.0,1.0,1.0
0,2,23,9,6,0,7.0,1.0,2.0
1,1,28,1,6,0,5.0,1.0,1.0
0,1,52,9,3,4,7.0,1.0,1.0
0,1,21,9,6,0,6.0,1.0,1.0
0,1,20,9,6,0,4.0,1.0,1.0
0,2,24,9,2,0,7.0,1.0,2.0
0,1,52,9,5,2,5.0,1.0,1.0
0,1,63,9,4,2,5.0,1.0,1.0
0,1,35,9,1,0,7.0,1.0,1.0
0,1,51,9,3,1,7.0,1.0,1.0
1,1,48,9,6,0,6.0,2.0,1.0
0,2,28,9,6,1,6.0,1.0,2.0
0,2,46,9,3,3,7.0,1.0,2.0
0,2,25,9,5,1,7.0,1.0,2.0
0,1,48,9,6,3,5.0,1.0,1.0
0,1,57,9,5,0,5.0,1.0,1.0
0,1,37,9,1,3,4.0,1.0,1.0
0,2,32,9,3,0,6.0,1.0,2.0
0,2,43,9,6,2,4.0,1.0,2.0
0,1,35,9,2,2,5.0,1.0,1.0
0,2,25,9,6,0,5.0,1.0,2.0
0,2,21,9,2,1,6.0,1.0,2.0
1,1,29,1,2,1,4.0,1.0,1.0
1,2,53,9,4,4,4.0,1.0,2.0
0,2,21,9,6,2,4.0,1.0,2.0
0,1,20,9,2,0,4.0,1.0,1.0
0,2,61,9,2,3,4.0,1.0,2.0
1,1,18,9,6,0,5.0,1.0,1.0
1,2,45,9,2,2,5.0,1.0,2.0
0,1,40,1,2,3,3.0,1.0,1.0
1,2,31,9,5,2,6.0,1.0,2.0
0,2,61,9,6,2,3.0,1.0,2.0
1,1,20,9,6,0,7.0,1.0,1.0
1,1,28,9,2,1,7.0,1.0,1.0
1,1,32,9,2,1,6.0,1.0,1.0
1,1,19,9,6,0,3.0,1.0,1.0
1,2,20,9,6,0,7.0,1.0,2.0
0,2,53,9,3,1,7.0,1.0,2.0
0,2,48,9,1,3,1.0,1.0,2.0
1,1,26,9,6,0,5.0,1.0,1.0
1,1,44,9,5,2,6.0,1.0,1.0
1,2,28,9,6,3,5.0,1.0,2.0
0,1,32,1,3,1,5.0,1.0,1.0
0,1,27,9,1,0,6.0,1.0,1.0
0,1,36,5,2,2,5.0,1.0,1.0
0,2,43,9,6,2,5.0,1.0,2.0
0,1,40,9,2,1,7.0,1.0,1.0
1,2,26,9,2,2,5.0,1.0,2.0
1,2,42,9,2,2,5.0,1.0,2.0
0,2,30,9,5,3,4.0,1.0,2.0
1,1,57,9,3,1,5.0,1.0,1.0
1,2,32,9,2,1,8.0,1.0,2.0
1,1,48,1,2,5,1.0,1.0,1.0
0,2,48,9,2,5,4.0,1.0,2.0
0,1,54,9,3,2,7.0,1.0,1.0
1,2,25,9,5,2,3.0,1.0,2.0
1,1,39,9,2,2,6.0,1.0,1.0
0,1,39,9,2,1,8.0,1.0,1.0
0,1,44,9,6,0,5.0,1.0,1.0
1,1,32,9,6,0,6.0,1.0,1.0
1,1,42,9,6,0,4.0,1.0,1.0
1,1,22,9,2,1,5.0,1.0,1.0
0,2,21,9,6,0,7.0,3.0,2.0
1,1,22,9,6,0,7.0,1.0,1.0
1,2,28,5,2,1,7.0,1.0,2.0
0,2,37,9,5,0,7.0,3.0,2.0
1,2,33,9,1,2,5.0,1.0,2.0
0,1,29,9,4,3,6.0,1.0,1.0
1,1,30,9,2,1,5.0,1.0,1.0
1,2,33,9,6,3,5.0,1.0,2.0
1,2,30,9,2,0,6.0,1.0,2.0
1,2,30,9,6,0,5.0,2.0,2.0
0,1,35,9,3,2,7.0,1.0,1.0
1,2,31,9,6,0,7.0,1.0,2.0
0,2,37,9,5,3,7.0,1.0,2.0
0,1,59,9,6,0,3.0,1.0,1.0
0,2,29,9,6,2,3.0,1.0,2.0
1,1,21,9,6,1,5.0,1.0,1.0
0,1,36,9,5,2,6.0,1.0,1.0
1,2,20,9,6,1,5.0,1.0,2.0
0,2,52,5,3,4,3.0,1.0,2.0
1,2,19,9,6,0,6.0,1.0,2.0
0,1,59,9,2,3,2.0,1.0,1.0
1,1,30,9,2,1,6.0,1.0,1.0
1,2,28,9,2,1,6.0,1.0,2.0
0,1,38,9,2,3,6.0,1.0,1.0
0,2,43,9,6,0,8.0,1.0,2.0
1,1,28,9,6,0,6.0,1.0,1.0
0,1,44,9,3,2,6.0,1.0,1.0
0,2,38,9,2,2,5.0,1.0,2.0
0,2,36,9,6,3,4.0,1.0,2.0
1,2,19,9,6,0,6.0,1.0,2.0
0,1,33,9,2,1,4.0,1.0,1.0
0,1,32,9,1,3,5.0,1.0,1.0
1,1,40,1,5,3,4.0,1.0,1.0
0,1,53,9,2,0,1.0,1.0,1.0
1,1,19,9,6,0,5.0,1.0,1.0
0,1,35,9,6,0,6.0,1.0,1.0
0,1,27,9,6,0,5.0,1.0,1.0
1,1,24,9,3,0,7.0,1.0,1.0
1,1,22,9,6,0,4.0,1.0,1.0
0,1,49,9,6,2,6.0,1.0,1.0
1,1,49,5,5,0,6.0,2.0,1.0
0,1,45,9,6,1,4.0,1.0,1.0
0,2,27,9,2,0,6.0,2.0,2.0
1,1,21,9,6,0,4.0,1.0,1.0
1,1,19,9,6,0,5.0,1.0,1.0
1,1,25,9,1,0,7.0,1.0,1.0
0,1,31,9,1,1,8.0,1.0,1.0
1,1,19,9,6,0,7.0,1.0,1.0
0,1,63,1,5,7,1.0,1.0,1.0
0,1,38,9,6,0,8.0,1.0,1.0
1,1,25,9,2,1,5.0,1.0,1.0
1,1,18,9,6,0,7.0,1.0,1.0
1,1,30,9,2,1,5.0,1.0,1.0
1,1,22,9,5,1,5.0,1.0,1.0
1,2,20,9,6,0,5.0,1.0,2.0
1,1,43,9,3,2,3.0,1.0,2.0
1,1,28,9,2,0,6.0,1.0,1.0
0,1,55,9,1,0,7.0,1.0,1.0
1,2,52,9,2,0,8.0,1.0,2.0
1,1,53,9,3,2,8.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
1,2,25,9,1,2,4.0,1.0,2.0
0,1,20,5,5,0,6.0,1.0,1.0
1,1,40,9,1,1,6.0,1.0,1.0
1,1,28,9,1,0,7.0,1.0,1.0
1,1,30,9,5,0,5.0,1.0,1.0
0,1,35,9,6,0,3.0,1.0,1.0
0,1,27,1,1,0,6.0,1.0,1.0
0,1,27,9,6,1,5.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,2,54,9,3,1,5.0,1.0,2.0
0,1,24,9,6,0,7.0,1.0,1.0
1,1,20,1,3,0,4.0,1.0,1.0
1,1,23,9,6,0,7.0,1.0,1.0
0,2,41,9,5,1,7.0,1.0,2.0
1,1,22,9,6,0,4.0,1.0,1.0
0,2,60,9,4,2,4.0,1.0,2.0
0,2,19,5,6,0,5.0,1.0,2.0
1,2,27,9,6,0,8.0,1.0,2.0
0,2,62,9,2,2,3.0,1.0,2.0
0,1,23,9,6,0,7.0,1.0,1.0
1,1,65,9,5,0,4.0,1.0,1.0
0,2,25,9,6,1,6.0,1.0,2.0
1,1,32,9,1,1,5.0,1.0,1.0
1,1,21,9,6,0,6.0,1.0,1.0
0,1,40,9,6,1,4.0,1.0,1.0
1,2,19,9,2,1,6.0,1.0,2.0
0,1,29,9,2,1,5.0,1.0,1.0
0,1,19,9,6,0,6.0,1.0,1.0
0,1,51,9,3,1,6.0,1.0,1.0
0,1,41,1,2,5,4.0,1.0,1.0
0,2,21,9,6,0,6.0,1.0,2.0
1,1,28,5,5,0,3.0,1.0,1.0
1,1,26,9,6,0,6.0,1.0,1.0
0,1,37,9,2,1,8.0,1.0,1.0
1,1,24,9,6,1,5.0,1.0,1.0
0,1,65,9,2,1,4.0,1.0,1.0
0,1,41,9,6,0,6.0,1.0,1.0
1,1,34,9,6,1,5.0,1.0,1.0
0,2,19,9,2,0,5.0,1.0,2.0
0,1,55,9,6,1,8.0,1.0,1.0
0,1,52,9,2,1,4.0,1.0,1.0
0,2,20,1,2,1,5.0,1.0,2.0
0,2,22,9,2,0,4.0,1.0,2.0
1,2,19,9,1,0,4.0,1.0,2.0
0,2,45,9,5,2,7.0,1.0,2.0
1,2,40,9,2,1,6.0,1.0,2.0
0,1,44,5,3,1,7.0,1.0,1.0
0,2,28,9,6,0,5.0,1.0,2.0
1,1,20,9,6,0,4.0,1.0,1.0
1,1,28,5,5,0,4.0,1.0,1.0
1,1,31,9,2,1,8.0,1.0,1.0
1,2,23,9,6,0,7.0,1.0,2.0
1,1,19,9,6,0,5.0,1.0,1.0
0,2,22,9,2,1,5.0,1.0,2.0
0,2,34,1,5,2,5.0,3.0,3.0
1,1,29,9,6,0,7.0,1.0,1.0
1,1,36,5,2,3,5.0,1.0,1.0
0,1,44,9,2,2,6.0,1.0,1.0
0,2,19,9,6,0,5.0,1.0,2.0
0,1,25,9,6,0,7.0,1.0,1.0
0,1,24,9,2,1,5.0,1.0,1.0
1,1,36,9,6,1,7.0,1.0,1.0
1,1,34,9,2,0,7.0,1.0,1.0
0,2,39,9,6,4,3.0,1.0,2.0
0,2,44,9,2,3,3.0,1.0,2.0
1,1,63,9,6,0,7.0,1.0,1.0
1,2,43,9,6,1,5.0,1.0,2.0
0,1,24,9,6,0,7.0,1.0,1.0
0,2,24,9,1,1,6.0,1.0,2.0
0,1,22,1,6,0,6.0,1.0,1.0
1,1,27,9,6,0,6.0,1.0,1.0
0,1,20,9,6,0,7.0,1.0,1.0
1,1,21,9,6,0,5.0,1.0,1.0
1,1,37,9,6,0,5.0,1.0,1.0
0,2,20,9,6,0,5.0,3.0,2.0
1,1,42,9,2,2,7.0,1.0,1.0
0,1,42,9,6,0,3.0,2.0,3.0
1,1,35,9,1,0,7.0,1.0,1.0
0,1,30,9,3,0,8.0,1.0,1.0
0,1,39,9,6,0,4.0,1.0,1.0
0,1,28,9,6,4,4.0,1.0,1.0
1,1,23,9,6,0,5.0,1.0,1.0
0,1,44,9,5,3,5.0,1.0,1.0
1,2,18,9,6,1,4.0,1.0,2.0
0,1,38,1,2,1,4.0,1.0,1.0
1,2,45,9,2,2,5.0,2.0,2.0
0,1,40,5,3,0,8.0,1.0,1.0
0,1,59,9,6,0,4.0,1.0,1.0
0,1,21,9,6,0,6.0,1.0,1.0
1,1,37,9,2,3,6.0,1.0,1.0
1,2,64,9,4,4,4.0,1.0,2.0
0,1,32,9,6,0,5.0,1.0,1.0
0,1,39,1,5,2,5.0,1.0,1.0
1,1,39,9,6,1,3.0,1.0,1.0
0,1,33,9,2,0,7.0,1.0,1.0
0,1,39,9,6,3,5.0,1.0,1.0
0,2,30,9,6,0,5.0,1.0,2.0
0,1,35,9,1,0,7.0,2.0,1.0
1,1,23,9,6,0,6.0,1.0,1.0
0,1,28,9,6,0,7.0,2.0,1.0
